Material,Shift Indicator,Trace Serial No,Trace Date,Serial Number,Batch,Scan Date,Scan Time,"Brake sw. bracket Torque 
(Screw 1)","Brake sw. bracket Torque 
(Screw 2)",Clutch sw. bracket Torque (Screw 1),Clutch sw. bracket Torque (Screw 2),DBV torque (Bolt 1),DBV torque (Bolt 2),DBV torque (Bolt 3),DBV torque (Bolt 4),CMC Torque (Bolt 1),CMC Torque (Bolt 2),Pedal shaft_Assy_Torq,Pre_Play_mm,Brake Pedal_Crackoff_mm,Brake Pedal,Brake Pedal_Fullstr_mm,Brake Switch,Brake Pedal HS,ClutchPedal FreePlay,Clutch Pedal FullStroke,Clutch Pedal HS,Brake Pedal Crackoff,Brake Pedal,Brake Pedal Full Stroke,Brake Switch,Brake Pedal HS,Clutch Pedal Free Play,Clutch Pedal Full Stroke,,BPT1,BPT2,CPT1,CPT2,DT1,DT2,DT3,DT4,CT1,CT2,PST,PV,TR1BPCR,TR1BPFT,TR1CPFP,TR1CPFS,TR2BPCR,TR2BPFT,TR2CPFP,TR2CPFS
9650010950,SHIFTA,4005,11/8/22,8330740,03X0209160,11/8/22,4:06:43 PM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.06,5.24,19.85,79.282,110.880,0.000,0.000,17.84,121.680,0.000,18.99,79.624,115.488,0.000,0.000,16.55,139.006,0.000,0,0,0,0,0,0,0,0,0,0,9.06,5.24,19.85,110.880,17.84,121.680,18.99,115.488,16.55,139.006
9650010950,SHIFTA,4257,11/8/22,8330738,03X0209159,11/8/22,4:05:37 PM,4.537,5.497,4.515,4.860,22.042,22.020,22.050,22.012,0.000,0.000,9.00,5.90,0.00,0.000,0.000,0.000,0.000,0.00,0.000,0.000,18.15,80.664,121.444,0.000,0.000,15.38,134.464,0.000,4.537,5.497,4.515,4.86,22.042,22.02,22.05,22.012,0,0,9,5.9,0.00,0.000,0.00,0.000,18.15,121.444,15.38,134.464
9650010950,SHIFTA,4817,11/7/22,8326739,03X0209152,11/7/22,1:58:01 PM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.128,23.177,0.00,5.36,20.71,81.305,113.661,19.179,8.923,15.22,136.247,23.384,19.18,81.351,110.877,21.259,10.226,15.39,149.274,22.558,0,0,0,0,0,0,0,0,23.128,23.177,0,5.36,20.71,113.661,15.22,136.247,19.18,110.877,15.39,149.274
9650010950,SHIFTA,5231,11/1/22,8308842,03X0209065,11/1/22,3:52:30 PM,5.782,4.545,4.807,4.515,22.005,22.733,23.227,22.305,23.097,23.097,0.00,6.21,17.01,71.103,87.650,0.000,0.000,18.99,136.204,0.000,14.64,67.183,103.428,0.000,0.000,16.85,135.778,0.000,5.782,4.545,4.807,4.515,22.005,22.733,23.227,22.305,23.097,23.097,0,6.21,17.01,87.650,18.99,136.204,14.64,_103.428,16.85,135.778
9650010950,SHIFTA,5235,11/1/22,8308842,03X0209065,11/1/22,3:52:30 PM,5.655,4.530,4.980,4.515,22.005,22.733,23.227,22.305,23.036,23.073,0.00,6.16,16.27,69.055,110.501,0.000,0.000,0.00,139.102,0.000,14.13,65.935,107.912,0.000,0.000,14.88,137.379,0.000,5.655,4.53,4.98,4.515,22.005,22.733,23.227,22.305,23.036,23.073,0,6.16,16.27,110.501,0.00,139.102,14.13,_107.912,14.88,137.379
9650010950,SHIFTA,5236,11/1/22,8308842,03X0209065,11/1/22,3:52:30 PM,5.182,4.530,5.152,4.515,22.035,23.805,22.140,22.462,23.036,23.073,0.00,6.16,19.47,79.617,114.718,0.000,0.000,18.07,126.995,0.000,0.00,0.000,0.000,0.000,0.000,0.00,0.000,0.000,5.182,4.53,5.152,4.515,22.035,23.805,22.14,22.462,23.036,23.073,0,6.16,19.47,114.718,18.07,126.995,0.00,_  0.000,0.00,0.000
9650010950,SHIFTA,5237,11/3/22,8314598,03X0209112,11/3/22,11:31:13 AM,5.722,4.523,4.987,4.507,0.000,0.000,0.000,0.000,23.067,23.005,0.00,6.09,18.41,79.586,112.225,16.783,10.459,19.05,129.981,20.582,17.93,76.633,111.264,14.863,10.516,17.67,134.585,23.187,5.722,4.523,4.987,4.507,0,0,0,0,23.067,23.005,0,6.09,18.41,112.225,19.05,129.981,17.93,111.264,17.67,134.585
9650010950,SHIFTA,5241,11/7/22,8326099,03X0209149,11/7/22,10:49:07 AM,4.830,4.537,5.242,5.100,22.042,22.028,22.035,22.057,0.000,0.000,8.97,5.28,16.59,76.758,113.375,13.812,9.975,15.72,135.504,21.893,0.00,0.000,0.000,0.000,0.000,0.00,0.000,0.000,5.325,4.53,4.987,4.56,23.467,22.312,23.355,22.342,23.11,23.146,0,6.09,19.66,115.198,13.32,138.588,18.90,114.241,17.39,134.980
9650010950,SHIFTA,5242,11/7/22,8326099,03X0209149,11/7/22,10:49:07 AM,0.000,0.000,0.000,0.000,22.012,22.035,22.035,0.000,23.079,23.146,8.97,5.29,20.14,80.900,111.840,20.136,11.894,18.18,143.520,26.741,17.65,80.713,112.033,19.732,9.942,16.14,146.340,25.525,4.762,4.515,4.523,5.438,22.028,22.012,22.05,22.035,23.073,23.103,0,5.29,20.04,110.114,0.00,0.000,19.94,110.878,15.28,142.146
9650010950,SHIFTA,5243,11/4/22,8318901,03X0209123,11/4/22,1:47:53 PM,5.325,4.530,4.987,4.560,23.467,22.312,23.355,22.342,23.110,23.146,0.00,6.09,19.66,79.718,115.198,0.000,0.000,13.32,138.588,0.000,18.90,79.044,114.241,0.000,0.000,17.39,134.980,0.000,4.95,4.523,0,0,22.028,22.012,22.05,22.035,23.079,23.146,0,5.27,18.22,111.648,19.10,139.884,0.00,0.000,0.00,0.000
